,Code,Name,City,Postal_Code,Country_Code,Longitude,Latitude,Gmt_Offset,World_Area_Code
,SPM,Spangdahlem,Spangdahlem,,DEU,6.6833,49.9833,,429
,SPN,Saipan International,Obyan,,MNP,145.7294,15.1189,10,5
,SPO,San Pablo,Sevilla,,ESP,-5.8931,37.4181,1,482
,SPP,Menongue,Menongue,,AGO,17.7333,-14.6333,-1,502
,SPQ,Catalina SPB,San Pedro,90275,USA,-118.3667,33.75,8,67
,SPR,San Pedro,San Pedro,,BLZ,-87.9667,17.9167,6,106
,SPS,Sheppard AFB,Wichita Falls,76306,USA,-98.5167,33.9833,6,67
,SPT,Sipitang,Sipitang,,MYS,115.55,5.0833,-8,749
,SPU,Split,Split,,HRV,16.3,43.5333,-1,415
,SPV,Sepik Plains,Sepik Plains,,PNG,143.6833,-3.9,-10,804
,SPW,Municipal,Spencer,51301,USA,-95.1833,43.1667,6,67
,SPY,San Pedro,San Pedro,,CIV,-6.6667,4.7333,,533
,SPZ,Springdale Muni,Springdale,72764,USA,-94.1333,36.1833,6,67
,SQA,Santa Ynez,Santa Ynez,,USA,39.2,13.8167,,67
,SQB,Santa Ana,Santa Ana,,COL,-75.95,4.7667,5,327
,SQC,Southern Cross,Southern Cross,,AUS,119.3167,-31.2167,-8,802
,SQD,Sinop,Sinop,,TUR,35,41.6667,,679
,SQE,San Luis De Pale,San Luis De Pale,,COL,-71.7,5.4,5,327
,SQF,Solano,Solano,,COL,-75.2667,0.7167,5,327
,SQG,Sintang,Sintang,,IDN,111.5,0.0667,-8,832
,SQI,Whiteside County,Sterling Rockfalls,61071,USA,-89.6833,41.7333,6,67
,SQK,Sidi Barani,Sidi Barani,,EGY,30.8667,29.4167,,591
,SQL,San Carlos,San Carlos,85550,USA,-122.25,37.4833,8,67
,SQN,Sanana,Sanana,,IDN,125.9667,-2.0667,-9,832
,SQO,Gunnarn,Storuman,,SWE,16.9,65.2333,,484
,SQP,Starcke,Starcke,,AUS,147.1667,-14.2,-10,802
,SQQ,Siauliai International,Siauliai,,LTU,26.2667,55.6667,2,452
,SQR,Inco Soroako Waws,Soroako,,IDN,121.3578,-2.5311,8,832
,SQS,Matthew Spain,San Ignacio,,BLZ,-75.3667,5.55,,106
,SQT,China Straits Airstrip,Samarai Island,,PNG,150.8,-9.6667,,804
,SQV,Sequim Valley Arpt,Sequim,98382,USA,-123.1,48.0833,8,67
,SQW,Skive Airport,Skive,,DNK,9.1728,56.55,1,419
,SQX,Sao Miguel do Oeste,Sao Miguel do Oeste,,BRA,-53.5036,-26.7817,-3,316
,SQY,Sao Lourenco Do Sul,Sao Lourenco Do Sul,,BRA,-51.9667,-31.3667,,316
,SQZ,RAF Station,Scampton,,GBR,-0.5667,53.3,,493
,SRA,Santa Rosa,Santa Rosa,,BRA,-54.4833,-27.8667,3,316
,SRB,Santa Rosa,Santa Rosa,,BOL,-66.8833,-14.1667,4,312
,SRC,Searcy,Searcy,72143,USA,-91.7333,35.25,6,67
,SRD,San Ramon,San Ramon,,BOL,-64.7,-13.2833,4,312
,SRE,Juana Azurduy de Padilla,Sucre,,BOL,-65.2886,-19.0069,-4,312
,SRF,Hamilton Field,San Rafael,,USA,-73.9167,8.45,,67
,SRG,Achmad Yani,Semarang,,IDN,110.3833,-6.9833,7,832
,SRH,Sarh,Sarh,,TCD,18.3833,9.15,-1,511
,SRI,Samarinda,Samarinda,,IDN,117.15,-0.5,-8,832
,SRJ,Capitan G Q Guardia,San Borja,,BOL,-66.8333,-14.8167,4,312
,SRK,Sierra Leone,Sierra Leone,,SLE,-13.5083,8.5,,571
,SRL,Santa Rosalia,Santa Rosalia,,MEX,-112.2667,27.3333,7,148
,SRM,Sandringham,Sandringham,,AUS,139.0667,-24.05,-10,802
,SRN,Strahan,Strahan,,AUS,145.3,-42.15,-10,802
,SRO,Santana Ramos,Santana Ramos,,COL,-75.25,2.2167,5,327
,SRP,Stord Airport,Stord,,NOR,5.3397,59.7928,1,465
,SRQ,Sarasota-Bradenton International Airport,Sarasota,34243,USA,-82.5544,27.3956,-5,67
,SRR,Dunwich,Stradbroke Island,,AUS,10.7833,47.2667,,802
,SRS,Cartagena,San Marcos,,COL,-75.1333,8.6667,-5,327
,SRT,Soroti,Soroti,,UGA,33.6167,1.7167,-3,590
,SRU,Skypark,Santa Cruz,,USA,-76.1,2.1667,,67
,SRV,Stony River,Stony River,99557,USA,-156.5833,61.7833,9,67
,SRW,Rowan County,Salisbury,28147,USA,-80.5167,35.6333,5,67
,SRX,Sert,Sert,,LBY,16.5833,31.2,-2,538
,SRY,Dashte Naz,Sary,,IRN,53.1833,36.6167,-3.5,632
,SRZ,El Trompillo,Santa Cruz,,BOL,-63.1667,-17.8,4,312
,SSA,Luis Eduardo Magalhaes,"Salvador, Bahia",,BRA,-38.3311,-12.9111,-3,316
,SSC,Shaw AFB,Sumter,29152,USA,10.9,53.2833,,67
,SSD,San Felipe,San Felipe,,COL,-67.1,1.9167,5,327
,SSE,Sholapur,Sholapur,,IND,75.9333,17.6333,-5.5,733
,SSF,Stinson Municipal,San Antonio,,USA,-76.7333,6.2333,,67
,SSG,Malbo,Malabo,,GNQ,8.7833,3.75,1,521
,SSH,Sharm El Sheikh International,Ras Nasrani,,EGY,34.395,27.9772,2,591
,SSI,Malcolm Mckinnon,Brunswick,31522,USA,-81.3914,31.1519,-6,67
,SSJ,Stokka,Sandnessjoen,,NOR,12.4667,65.95,-1,465
,SSK,Sturt Creek,Sturt Creek,,AUS,128.1333,-19.3333,-8,802
,SSL,Santa Rosalia,Santa Rosalia,,COL,-72.2333,1.4667,5,327
,SSO,Sao Lourenco,Sao Lourenco,,BRA,-45.0333,-22.1,3,316
,SSP,Silver Plains,Silver Plains,,AUS,143.55,-13.9833,10,802
,SSQ,La Sarre,La Sarre,,CAN,-79.1667,48.9167,5,906
,SSR,Sara,Sara,,VUT,168.2,-15.6667,-11,885
,SSS,Siassi,Siassi,,PNG,147.95,-5.9,-10,804
,SST,Santa Teresita,Santa Teresita,,ARG,-59.6333,-35.2667,3,303
,SSU,Greenbrier,White Sulphur Springs,24986,USA,-1.8333,61.8333,,67
,SSV,Siasi,Siasi,,PHL,120.8167,5.55,-8,766
,SSW,Stuart Island,Stuart Island,98250,USA,-123.2,48.7,8,67
,SSX,Samsun,Samsun/carsamba,,TUR,36.3,41.2781,2,679
,SSZ,Santos,Santos,,BRA,-46.1333,-23.9167,3,316
,STA,Stauning Vestjyllands Airport,Skjern,,DNK,8.35,55.9833,-1,419
,STB,L Delicias,Santa Barbara Ed,,VEN,-71.95,9.0333,4,388
,STC,Municipal,Saint Cloud,56303,USA,-94.1833,45.5833,6,67
,STD,Mayo Guerrero,Santo Domingo,,VEN,-72.0667,7.5833,4,388
,STE,Stevens Point,Stevens Point,,USA,20.1667,41.4333,,67
,STF,Stephen Island,Stephen Island,,AUS,143.5667,-9.5,-10,802
,STG,St George Island,St George Island,,USA,-169.5333,56.6,9,67
,STH,Strathmore,Strathmore,,AUS,142.5333,-17.8333,-10,802
,STI,Cibao International Airport,Santiago,,DOM,-70.6047,19.4061,-4,224
,STJ,Rosecrans Memorial,St Joseph,64503,USA,-94.9167,39.7667,6,67
,STK,Crosson Field,Sterling,80751,USA,-103.2667,40.6167,7,67
,STL,Lambert-St. Louis International,St Louis,63134,USA,-90.37,38.7486,-6,67
,STM,Eduardo Gomes,Santarem,,BRA,-54.7,-2.4167,3,316
,STN,Stansted,London,,GBR,0.2333,51.8833,,493
,STP,Downtown,St Paul,55107,USA,-93.0667,44.9333,6,67
,STR,Stuttgart Echterdingen,Stuttgart,,DEU,9.2,48.6833,1,429
,STS,Sonoma County,Santa Rosa,95492,USA,-122.8,38.5167,8,67
,STT,Cyril E King Airport,"Charlotte Amalie, St Thomas",,VIR,-64.9733,18.3372,-4,4
,STU,Santa Cruz,Santa Cruz,,BLZ,-88.4583,18.275,6,106
,STV,Surat,Surat,,IND,72.7417,21.1142,5.5,733
,STW,Stavropol,Stavropol,,RUS,42.0083,45.3333,-2,770
,STX,Henry E Rohlsen,"Christiansted, St Croix",,VIR,-64.8017,17.7017,-4,4
,STY,Salto,Salto,,URY,-57.9833,-31.4333,3,385
,STZ,Confresa,Santa Terezinha,,BRA,-50.0528,-10.4644,4,316
,SUA,Witham Field,Stuart,34996,USA,-80.2167,27.1833,5,67
,SUB,Juanda,Surabaya,,IDN,112.7869,-7.3797,7,832
,SUC,Schloredt,Sundance,82729,USA,-104.3667,44.4,7,67
,SUD,Stroud,Stroud,74079,USA,-96.65,35.7333,6,67
,SUE,Door County,Sturgeon Bay,,USA,-87.4167,44.8333,6,67
,SUF,S Eufemia,Lamezia-terme,,ITA,16.2333,38.9,-1,450
,SUG,Surigao,Surigao,,PHL,125.4833,9.7667,-8,766
,SUH,Sur,Sur,,OMN,59.5167,22.5833,-4,658
,SUI,Babusheri,Sukhumi,,GEO,41.1167,42.8667,-2,432
,SUJ,Satu Mare,Satu Mare,,ROU,22.8833,47.7,-2,473
,SUK,Samcheok,Samcheok,,KOR,129.1333,37.45,-9,778
,SUL,Sui,Sui,,PAK,69.2,28.6333,-5,764
,SUM,Municipal,Sumter,29153,USA,-80.1167,33.9,5,67
,SUN,Sun Valley,Sun Valley,86426,USA,-114.3167,43.5,7,67
,SUO,Sun River,Sun River,,USA,-88.55,-0.5333,,67
,SUP,Trunojoyo,Sumenep,,IDN,113.9333,-7.0667,-7,832
,SUQ,Sucua,Sucua,,ECU,-78.1833,-2.4667,5,337
,SUR,Summer Beaver,Summer Beaver,,CAN,-88.8833,76.4,,906
,SUS,Spirit Of St Louis,St Louis,63005,USA,-90.6519,38.6622,-6,67
,SUT,Sumbawanga,Sumbawanga,,TZA,31.6167,-7.9667,-3,585
,SUU,Travis AFB,Fairfield,94535,USA,-121.9275,38.2628,-8,67
,SUV,Nausori,Suva,,FJI,178.5667,-18.0333,-12,821
,SUW,Richard I Bong Arpt,Superior,55807,USA,-92.1667,46.7333,6,67
